Region_ID,Region,Year,Treatment,Total-City,Total(KAZ)-City,Total(RUS)-City,Total(Low)-City,Total(Low)-City %,KAZ(Low)-City,RUS(Low)-City,Total(Low-Mid)-City,KAZ(Low-Mid)-City,RUS(Low-Mid)-City,Toal(Low+Low-Mid)-City,Toal(Low+Low-Mid)-City-%,Total(Mid)-City,KAZ(Mid)-City,RUS(Mid)-City,Total(High-Mid)-City,KAZ(High-Mid)-City,RUS(High-Mid)-City,Total(High)-City,Total(High)-City-%,Total(High)-City-% of Column,KAZ(High)-City,RUS(High)-City,Total-Rural,Total(KAZ)-Rural,Total(RUS)-Rural,Total(Low)-Rural,Total(Low)-Rural-%,KAZ(Low)-Rural,RUS(Low)-Rural,Total(Low-Mid)-Rural,KAZ(Low-Mid)-Rural,RUS(Low-Mid)-Rural,Total(Mid)-Rural,KAZ(Mid)-Rural,RUS(Mid)-Rural,Total(High-Mid)-Rural,KAZ(High-Mid)-Rural,RUS(High-Mid)-Rural,Total(High)-Rural,KAZ(High)-Rural,RUS(High)-Rural,Population,Population_City,Population_Rural,New_Schools,Number_of_Schools_City,Number_of_Schools_Rural,Number_of_Students,Number_of_Students_City ,Number_of_Students_Rural,Number_of_Teachers,Percent_of_Students_Covered_Avg,Percent_of_Students_Covered_City,Percent_of_Students_Covered_Rural,Students_per_School_City,Students_per_School_Rural,Students_per_School_Total,Students_Per_Teacher,Teachers_per_School,Total_Low,Total_Low-Mid,Total_Mid,Total_High-Mid,Total_High,Low_%,Low-Mid%,Mid_%,High_Mid%,High_%
3,Almaty,2016,0,2381,1744,637,109,0.05,83,26,525,379,146,634,0.27,821,581,240,450,331,119,476,0.2,0.06,370,106,6545,5460,1085,429,0.07,352,77,1799,1513,286,2432,2046,386,1097,908,189,788,641,147,1947481,471008,1476473,6,107,652,335545,82003,253542,39424,113.05,129.35,96.74,766,389,442,9,52,538,2324,3253,1547,1264,6.03%,26.04%,36.44%,17.33%,14.16%
5,Astana City,2016,0,3782,2088,1694,150,0.04,82,68,563,229,334,713,0.19,1007,489,518,752,405,347,1310,0.35,0.15,883,427,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872619,872619,0,3,99,0,121190,121190,0,7251,54.76,109.52,0,1224,0,1224,17,73,150,563,1007,752,1310,3.97%,14.89%,26.63%,19.88%,34.64%
6,Atyrau,2016,0,1595,974,621,236,0.15,169,67,509,313,196,745,0.47,453,248,205,201,112,89,196,0.12,0.02,132,64,1514,1339,175,303,0.2,272,31,593,527,66,440,385,55,118,104,14,60,51,9,594562,283426,311136,1,63,136,105413,50564,54849,11639,110.44,131.44,89.43,803,403,530,9,58,539,1102,893,319,256,17.34%,35.45%,28.72%,10.26%,8.23%
7,East Kazakhstan,2016,0,2968,1669,1299,141,0.05,84,57,631,287,344,772,0.26,938,427,511,483,276,207,775,0.26,0.09,595,180,2594,2100,494,154,0.06,133,21,649,492,157,852,676,176,388,322,66,551,477,74,1395797,835781,560016,7,184,519,179160,101709,77451,23638,100.49,116.16,84.82,553,149,255,8,34,295,1280,1790,871,1326,5.30%,23.01%,32.18%,15.66%,23.84%
8,Jambyl ,2016,0,2141,1576,565,92,0.04,77,15,413,271,142,505,0.24,728,552,176,475,366,109,433,0.2,0.05,310,123,3870,3411,459,514,0.13,427,87,1122,955,167,1201,1079,122,496,451,45,537,499,38,1110907,449582,661325,6,98,364,202196,80267,121929,23581,105.07,117.85,92.28,819,335,438,9,51,606,1535,1929,971,970,10.08%,25.54%,32.09%,16.15%,16.14%
9,Karaganda,2016,0,3090,1573,1517,65,0.02,33,32,579,291,288,644,0.21,1233,636,597,585,284,301,628,0.2,0.07,329,299,1385,1039,346,110,0.08,81,29,472,339,133,487,376,111,191,153,38,125,90,35,1384889,1096792,288097,4,235,323,183133,139212,43921,21662,97.96,107.17,88.75,592,136,328,8,39,175,1051,1720,776,753,3.91%,23.49%,38.44%,17.34%,16.83%
10,Kostanay,2016,0,1279,436,843,24,0.02,13,11,169,65,104,193,0.15,430,129,301,302,96,206,354,0.28,0.04,133,221,1262,502,760,50,0.04,28,22,335,125,210,542,192,350,192,86,106,143,71,72,883640,467141,416499,1,96,457,103052,52339,50713,14539,98.99,116.81,81.17,545,111,186,7,26,74,504,972,494,497,2.91%,19.83%,38.25%,19.44%,19.56%
11,Kyzylorda,2016,0,1775,1514,261,57,0.03,49,8,362,302,60,419,0.24,688,587,101,372,320,52,296,0.17,0.03,256,40,2655,2521,134,59,0.02,56,3,571,539,32,1126,1073,53,531,507,24,368,346,22,765171,333729,431442,4,73,240,138779,51729,87050,19828,104.1,117.18,91.01,709,363,443,7,63,116,933,1814,903,664,2.62%,21.06%,40.95%,20.38%,14.99%
12,Mangystau,2016,0,1625,1261,364,95,0.06,74,21,446,330,116,541,0.33,560,442,118,269,218,51,255,0.16,0.03,197,58,1536,1512,24,130,0.08,127,3,440,435,5,550,542,8,203,198,5,213,210,3,626793,302181,324612,0,53,96,115377,49364,66013,9833,108.83,112.18,105.48,931,688,774,12,66,225,886,1110,472,468,7.12%,28.03%,35.12%,14.93%,14.81%
13,North Kazakhstan,2016,0,861,276,585,30,0.03,17,13,217,71,146,247,0.29,300,89,211,152,46,106,162,0.19,0.02,53,109,1491,634,857,103,0.07,52,51,435,185,250,568,234,334,242,94,148,143,69,74,569446,248777,320669,35,261,792,592206,267494,324712,66412,105.82,116.17,95.46,1025,410,562,9,63,133,652,868,394,305,5.65%,27.72%,36.90%,16.75%,12.97%
